ISO3,NAME,D_T_DIFF,LATITUDE,LONGITUDE,Norm_T_Diff
CHN,Cuijiang,4.02643919177,26.2662439872,116.662487906,0.1170254989902838
IND,SABALGARH,0.188605087874,26.2543973195,77.4152347809,0.004033370630984
IND,MAU,2.03300367027,26.2640543907,78.6759689622,0.0417142696756021
IND,JAIS,0.744657534247,26.26282955,81.5507071899,0.016799814571575
IND,ISLAMPUR,3.37182483807,26.2612564388,88.1936219308,0.1003483636643859
IND,RAEBARELI,-0.204481343234,26.2307508469,81.2537042478,-0.0046138967835405
CHN,Yongzhou,0.64888212533,26.2355136618,111.628402831,0.0163914859648305
IND,DOSTPUR,1.68219817768,26.2674924458,82.4736652198,0.0375132264113669
CHN,Meicheng,1.62005183265,26.2230156008,118.869193428,0.0450843652423924
IND,PUKHRAYAN,-2.69709480122,26.2172623274,79.8303783521,-0.0583871006181688
IND,Siwan,-0.199841741344,26.223421428,84.3655970822,-0.0051981533234004
IND,Bilasipara,2.34346693387,26.2378485537,90.236651635,0.0787018061729285
IND,Guwahati,-1.44303486878,26.1448526826,91.7265865536,-0.0480281584379431
CHN,Defeng,3.18887362637,26.2277095178,109.135107702,0.0955660482212414
OMN,Hasab,1.19428680047,26.165287597,56.2273709584,0.0274180450436683
IND,BILARA,-1.10491365026,26.1877766539,73.7213065332,-0.0209768191965611
